Locale,Source,Result,Character count
fr-FR,"modules/elite/slideshow","[fr-FR] modules/elite/slideshow",23
fr-FR,"Slideshows","[fr-FR] Slideshows",10
fr-FR,"Customizable slideshows with unique transitions.","[fr-FR] Customizable slideshows with unique transitions.",48
fr-FR,"Slideshow","[fr-FR] Slideshow",9
fr-FR,"Transition duration","[fr-FR] Transition duration",19
fr-FR,"Slide duration","[fr-FR] Slide duration",14
fr-FR,"Transition type","[fr-FR] Transition type",15
fr-FR,"Default","[fr-FR] Default",7
fr-FR,"default","[fr-FR] default",7
fr-FR,"Lens","[fr-FR] Lens",4
fr-FR,"lens","[fr-FR] lens",4
fr-FR,"Swipe","[fr-FR] Swipe",5
fr-FR,"swipe","[fr-FR] swipe",5
fr-FR,"Store","[fr-FR] Store",5
fr-FR,"store","[fr-FR] store",5
fr-FR,"Navigation type","[fr-FR] Navigation type",15
fr-FR,"Default","[fr-FR] Default",7
fr-FR,"default","[fr-FR] default",7
fr-FR,"Automatic","[fr-FR] Automatic",9
fr-FR,"automatic","[fr-FR] automatic",9
fr-FR,"Manual","[fr-FR] Manual",6
fr-FR,"manual","[fr-FR] manual",6
fr-FR,"modules/elite/carousel","[fr-FR] modules/elite/carousel",22
fr-FR,"Carousels","[fr-FR] Carousels",9
fr-FR,"Customizable carousels with 2D or 3D rotations.","[fr-FR] Customizable carousels with 2D or 3D rotations.",47
fr-FR,"Carousel","[fr-FR] Carousel",8
fr-FR,"Curve direction","[fr-FR] Curve direction",15
fr-FR,"Outward","[fr-FR] Outward",7
fr-FR,"outward","[fr-FR] outward",7
fr-FR,"Inward","[fr-FR] Inward",6
fr-FR,"inward","[fr-FR] inward",6
fr-FR,"Fan","[fr-FR] Fan",3
fr-FR,"fan","[fr-FR] fan",3
fr-FR,"Movement direction","[fr-FR] Movement direction",18
fr-FR,"Right","[fr-FR] Right",5
fr-FR,"right","[fr-FR] right",5
fr-FR,"Left","[fr-FR] Left",4
fr-FR,"left","[fr-FR] left",4
fr-FR,"Picture width","[fr-FR] Picture width",13
fr-FR,"Picture height","[fr-FR] Picture height",14
fr-FR,"Border radius","[fr-FR] Border radius",13
fr-FR,"Border smooth","[fr-FR] Border smooth",13
fr-FR,"Speed","[fr-FR] Speed",5
fr-FR,"Invert drag","[fr-FR] Invert drag",11
fr-FR,"True","[fr-FR] True",4
fr-FR,"true","[fr-FR] true",4
fr-FR,"False","[fr-FR] False",5
fr-FR,"false","[fr-FR] false",5
fr-FR,"modules/core/news","[fr-FR] modules/core/news",17
fr-FR,"News","[fr-FR] News",4
fr-FR,"News sections including interactive cards and filtering components.","[fr-FR] News sections including interactive cards and filtering components.",67
fr-FR,"Flash","[fr-FR] Flash",5
fr-FR,"Flow","[fr-FR] Flow",4
fr-FR,"Storyteller","[fr-FR] Storyteller",11
fr-FR,"modules/core/milestones","[fr-FR] modules/core/milestones",23
fr-FR,"Milestones","[fr-FR] Milestones",10
fr-FR,"Customizable slideshow with unique transitions.","[fr-FR] Customizable slideshow with unique transitions.",47
fr-FR,"Pathway","[fr-FR] Pathway",7
fr-FR,"Deck","[fr-FR] Deck",4
fr-FR,"Moment","[fr-FR] Moment",6
fr-FR,"Home","[fr-FR] Home",4
fr-FR,"/","[fr-FR] /",1
fr-FR,"home","[fr-FR] home",4
fr-FR,"home","[fr-FR] home",4
fr-FR,"Browse Latest Web Design Tool","[fr-FR] Browse Latest Web Design Tool",29
fr-FR,"Improve and ease your workflow with extensive design tools","[fr-FR] Improve and ease your workflow with extensive design tools",58
fr-FR,"Templates","[fr-FR] Templates",9
fr-FR,"templates","[fr-FR] templates",9
fr-FR,"layout","[fr-FR] layout",6
fr-FR,"Templates","[fr-FR] Templates",9
fr-FR,"The latest documents to start your new design projects or next presentation","[fr-FR] The latest documents to start your new design projects or next presentation",75
fr-FR,"Modules","[fr-FR] Modules",7
fr-FR,"modules","[fr-FR] modules",7
fr-FR,"grid","[fr-FR] grid",4
fr-FR,"Modules","[fr-FR] Modules",7
fr-FR,"The interactive library gathering all kinds of engaging visual effects","[fr-FR] The interactive library gathering all kinds of engaging visual effects",70
fr-FR,"Documents","[fr-FR] Documents",9
fr-FR,"documents","[fr-FR] documents",9
fr-FR,"file-text","[fr-FR] file-text",9
fr-FR,"Documents","[fr-FR] Documents",9
fr-FR,"All the documents useful for your project development","[fr-FR] All the documents useful for your project development",53
fr-FR,"Plugins","[fr-FR] Plugins",7
fr-FR,"plugins","[fr-FR] plugins",7
fr-FR,"puzzle","[fr-FR] puzzle",6
fr-FR,"Plugins","[fr-FR] Plugins",7
fr-FR,"The usefull plugins to boost your creativity","[fr-FR] The usefull plugins to boost your creativity",44
fr-FR,"Project Requirements Document (PRD)","[fr-FR] Project Requirements Document (PRD)",35
fr-FR,"The document to gather project's overview including technical scopes, design resources as well as persona profiles.","[fr-FR] The document to gather project's overview including technical scopes, design resources as well as persona profiles.",115
fr-FR,"Product_Requirements_Document.xlsm","[fr-FR] Product_Requirements_Document.xlsm",34
fr-FR,"prd","[fr-FR] prd",3
fr-FR,"Getty Assets List","[fr-FR] Getty Assets List",17
fr-FR,"The table to gather all the getty assets used in a projects before final confirmation of purchase.","[fr-FR] The table to gather all the getty assets used in a projects before final confirmation of purchase.",98
fr-FR,"yymmdd_Project_name_購圖清單.docx","[fr-FR] yymmdd_Project_name_購圖清單.docx",29
fr-FR,"gettylist","[fr-FR] gettylist",9
fr-FR,"GDPR Guide","[fr-FR] GDPR Guide",10
fr-FR,"A template including the fundamentals items for a fast and clear storybook.","[fr-FR] A template including the fundamentals items for a fast and clear storybook.",75
fr-FR,"GDPR_常態樣式規則_v2.0.docx","[fr-FR] GDPR_常態樣式規則_v2.0.docx",21
fr-FR,"gdprguide","[fr-FR] gdprguide",9
fr-FR,"Figma Documentation (EN)","[fr-FR] Figma Documentation (EN)",24
fr-FR,"The basic file for every web projects including a basic design system ready to be used.","[fr-FR] The basic file for every web projects including a basic design system ready to be used.",87
fr-FR,"Akacia_Figma_Documentation.docx","[fr-FR] Akacia_Figma_Documentation.docx",31
fr-FR,"figdocen","[fr-FR] figdocen",8
fr-FR,"Figma Documentation (中文)","[fr-FR] Figma Documentation (中文)",24
fr-FR,"The basic file for every web projects including a basic design system ready to be used.","[fr-FR] The basic file for every web projects including a basic design system ready to be used.",87
fr-FR,"阿卡希亞Figma文件.docx","[fr-FR] 阿卡希亞Figma文件.docx",16
fr-FR,"figdoczh","[fr-FR] figdoczh",8
fr-FR,"Usability Test Dashboard","[fr-FR] Usability Test Dashboard",24
fr-FR,"A comprehensive document that inclue all the HTML editor available components.","[fr-FR] A comprehensive document that inclue all the HTML editor available components.",78
fr-FR,"Usability_Test_SUS.xlsm","[fr-FR] Usability_Test_SUS.xlsm",23
fr-FR,"usatest","[fr-FR] usatest",7
fr-FR,"Usability Test Report","[fr-FR] Usability Test Report",21
fr-FR,"A comprehensive document that inclue all the HTML editor available components.","[fr-FR] A comprehensive document that inclue all the HTML editor available components.",78
fr-FR,"Usability_Test_Report.docx","[fr-FR] Usability_Test_Report.docx",26
fr-FR,"usadoc","[fr-FR] usadoc",6
fr-FR,"News","[fr-FR] News",4
fr-FR,"News sections including interactive cards and filtering components.","[fr-FR] News sections including interactive cards and filtering components.",67
fr-FR,"/modules/core/news","[fr-FR] /modules/core/news",18
fr-FR,"news","[fr-FR] news",4
fr-FR,"Milestones","[fr-FR] Milestones",10
fr-FR,"Milestones modules.","[fr-FR] Milestones modules.",19
fr-FR,"/modules/core/milestones","[fr-FR] /modules/core/milestones",24
fr-FR,"milestones","[fr-FR] milestones",10
fr-FR,"Slideshow","[fr-FR] Slideshow",9
fr-FR,"Customizable slideshow with unique transitions.","[fr-FR] Customizable slideshow with unique transitions.",47
fr-FR,"/modules/elite/slideshow","[fr-FR] /modules/elite/slideshow",24
fr-FR,"glslide","[fr-FR] glslide",7
fr-FR,"Carousel","[fr-FR] Carousel",8
fr-FR,"Customizable carousels with 2D or 3D rotations.","[fr-FR] Customizable carousels with 2D or 3D rotations.",47
fr-FR,"/modules/elite/carousel","[fr-FR] /modules/elite/carousel",23
fr-FR,"glcarousel","[fr-FR] glcarousel",10
fr-FR,"Style Studio","[fr-FR] Style Studio",12
fr-FR,"Style Studio offers many helpful tools to help you create your next color and font design system, or fine tune your current one.","[fr-FR] Style Studio offers many helpful tools to help you create your next color and font design system, or fine tune your current one.",128
fr-FR,"figstyle","[fr-FR] figstyle",8
fr-FR,"Site Mapper","[fr-FR] Site Mapper",11
fr-FR,"Site Mapper helps you to quickly export your website frames into a fully functional sitemap automatically linked to your project frames.","[fr-FR] Site Mapper helps you to quickly export your website frames into a fully functional sitemap automatically linked to your project frames.",136
fr-FR,"figmp","[fr-FR] figmp",5
fr-FR,"Lorem Ipsum","[fr-FR] Lorem Ipsum",11
fr-FR,"Fill your designs with placeholders in a click: text, images and even data!","[fr-FR] Fill your designs with placeholders in a click: text, images and even data!",75
fr-FR,"figlorem","[fr-FR] figlorem",8
fr-FR,"Iconify","[fr-FR] Iconify",7
fr-FR,"Import Material Design Icons, FontAwesome, Jam Icons, EmojiOne, Twitter Emoji and many other icons (more than 150 icon sets containing over 200,000 icons) to Figma document as vector shapes.","[fr-FR] Import Material Design Icons, FontAwesome, Jam Icons, EmojiOne, Twitter Emoji and many other icons (more than 150 icon sets containing over 200,000 icons) to Figma document as vector shapes.",190
fr-FR,"figiconify","[fr-FR] figiconify",10
fr-FR,"Shadow Maker","[fr-FR] Shadow Maker",12
fr-FR,"Generate beautiful, smooth shadows with direction, color, and opacity controls.","[fr-FR] Generate beautiful, smooth shadows with direction, color, and opacity controls.",79
fr-FR,"figshadow","[fr-FR] figshadow",9
fr-FR,"Snapshot","[fr-FR] Snapshot",8
fr-FR,"Create a Snapshot from any layer, and turn it into an image — whilst rotating/flipping it and converting it to the correct perspective all at once.","[fr-FR] Create a Snapshot from any layer, and turn it into an image — whilst rotating/flipping it and converting it to the correct perspective all at once.",147
fr-FR,"figsnap","[fr-FR] figsnap",7
fr-FR,"Starter Web Project","[fr-FR] Starter Web Project",19
fr-FR,"The basic file for every web projects including a basic design system ready to be used.","[fr-FR] The basic file for every web projects including a basic design system ready to be used.",87
fr-FR,"figstarter","[fr-FR] figstarter",10
fr-FR,"Wireframe","[fr-FR] Wireframe",9
fr-FR,"A useful wireframe document for all kind of website.","[fr-FR] A useful wireframe document for all kind of website.",52
fr-FR,"figwire","[fr-FR] figwire",7
fr-FR,"Proposal references","[fr-FR] Proposal references",19
fr-FR,"A collection of various website mockups for design proposals.","[fr-FR] A collection of various website mockups for design proposals.",61
fr-FR,"figppref","[fr-FR] figppref",8
fr-FR,"Starter Web Project","[fr-FR] Starter Web Project",19
fr-FR,"The basic file for every web projects including a basic design system ready to be used.","[fr-FR] The basic file for every web projects including a basic design system ready to be used.",87
fr-FR,"Starter_Project.xd","[fr-FR] Starter_Project.xd",18
fr-FR,"xdstarter","[fr-FR] xdstarter",9
fr-FR,"HTML Editor Kit","[fr-FR] HTML Editor Kit",15
fr-FR,"A comprehensive document that inclue all the HTML editor available components.","[fr-FR] A comprehensive document that inclue all the HTML editor available components.",78
fr-FR,"HTML_Template.xd","[fr-FR] HTML_Template.xd",16
fr-FR,"xdhtml","[fr-FR] xdhtml",6
fr-FR,"GDPR Kit","[fr-FR] GDPR Kit",8
fr-FR,"The GDPR module components with their different levels of functionality.","[fr-FR] The GDPR module components with their different levels of functionality.",72
fr-FR,"GDPR_Template.xd","[fr-FR] GDPR_Template.xd",16
fr-FR,"xdgdpr","[fr-FR] xdgdpr",6
fr-FR,"Design Proposal","[fr-FR] Design Proposal",15
fr-FR,"Your starter document for design proposals, including convenient layouts and pre animated slides.","[fr-FR] Your starter document for design proposals, including convenient layouts and pre animated slides.",97
fr-FR,"Design_Proposal.pptx","[fr-FR] Design_Proposal.pptx",20
fr-FR,"pptpresent","[fr-FR] pptpresent",10
fr-FR,"Bug List","[fr-FR] Bug List",8
fr-FR,"The document for any bug listing.","[fr-FR] The document for any bug listing.",33
fr-FR,"BugList_Client_Date.pptx","[fr-FR] BugList_Client_Date.pptx",24
fr-FR,"pptbug","[fr-FR] pptbug",6
fr-FR,"ChatGPT","[fr-FR] ChatGPT",7
fr-FR,"Useful for many productivity related task (copywriting, user persona generation etc.)","[fr-FR] Useful for many productivity related task (copywriting, user persona generation etc.)",85
fr-FR,"chatgpt","[fr-FR] chatgpt",7
fr-FR,"Adobe Firefly","[fr-FR] Adobe Firefly",13
fr-FR,"Text 2 Image tool, interesting for concept design brainstorms","[fr-FR] Text 2 Image tool, interesting for concept design brainstorms",61
fr-FR,"firefly","[fr-FR] firefly",7
fr-FR,"Farbvelo","[fr-FR] Farbvelo",8
fr-FR,"Generate harmonious color swatch.","[fr-FR] Generate harmonious color swatch.",33
fr-FR,"farbvelo","[fr-FR] farbvelo",8
fr-FR,"Huemint","[fr-FR] Huemint",7
fr-FR,"Create color swatch and see their direct application on various format and mediums.","[fr-FR] Create color swatch and see their direct application on various format and mediums.",83
fr-FR,"huemint","[fr-FR] huemint",7
fr-FR,"iColorPalette","[fr-FR] iColorPalette",13
fr-FR,"Explore trendy swatch and generate color swatch.","[fr-FR] Explore trendy swatch and generate color swatch.",48
fr-FR,"icolorpalette","[fr-FR] icolorpalette",13
fr-FR,"Randoma11y","[fr-FR] Randoma11y",10
fr-FR,"Generate random palettes based on Accessibility ratio.","[fr-FR] Generate random palettes based on Accessibility ratio.",54
fr-FR,"randoma11y","[fr-FR] randoma11y",10
fr-FR,"Coolors","[fr-FR] Coolors",7
fr-FR,"Generate color swatch and explore harmonious palettes.","[fr-FR] Generate color swatch and explore harmonious palettes.",54
fr-FR,"coolors","[fr-FR] coolors",7
fr-FR,"Color Designer","[fr-FR] Color Designer",14
fr-FR,"Collection of useful tools for color generation (shades, tint).","[fr-FR] Collection of useful tools for color generation (shades, tint).",63
fr-FR,"colordesigner","[fr-FR] colordesigner",13
fr-FR,"Design System Repo","[fr-FR] Design System Repo",18
fr-FR,"Collections of Design Systems.","[fr-FR] Collections of Design Systems.",30
fr-FR,"ddsrepo","[fr-FR] ddsrepo",7
fr-FR,"The Component Gallery","[fr-FR] The Component Gallery",21
fr-FR,"Collection of Components semantic and Design Systems curation.","[fr-FR] Collection of Components semantic and Design Systems curation.",62
fr-FR,"compgallery","[fr-FR] compgallery",11
fr-FR,"Typescale","[fr-FR] Typescale",9
fr-FR,"Generate easily font scales for design systems.","[fr-FR] Generate easily font scales for design systems.",47
fr-FR,"typescale","[fr-FR] typescale",9
fr-FR,"Toolfolio","[fr-FR] Toolfolio",9
fr-FR,"Useful Design Tools collection.","[fr-FR] Useful Design Tools collection.",31
fr-FR,"toolfolio","[fr-FR] toolfolio",9
fr-FR,"Pousse ta fonte","[fr-FR] Pousse ta fonte",15
fr-FR,"Collection of paid and free to use Typeface Foundries.","[fr-FR] Collection of paid and free to use Typeface Foundries.",54
fr-FR,"pousse","[fr-FR] pousse",6
fr-FR,"Google Fonts","[fr-FR] Google Fonts",12
fr-FR,"Collection of free to use Typefaces.","[fr-FR] Collection of free to use Typefaces.",36
fr-FR,"googlefont","[fr-FR] googlefont",10
fr-FR,"Fontshare","[fr-FR] Fontshare",9
fr-FR,"Collection of free to use Typefaces.","[fr-FR] Collection of free to use Typefaces.",36
fr-FR,"fontshare","[fr-FR] fontshare",9
fr-FR,"Velvetyne","[fr-FR] Velvetyne",9
fr-FR,"Collection of eccentric display Typefaces (most shall be free to use).","[fr-FR] Collection of eccentric display Typefaces (most shall be free to use).",70
fr-FR,"velvetyne","[fr-FR] velvetyne",9
fr-FR,"Use Modify","[fr-FR] Use Modify",10
fr-FR,"Collection of eccentric display Typefaces (most shall be free to use).","[fr-FR] Collection of eccentric display Typefaces (most shall be free to use).",70
fr-FR,"usemodify","[fr-FR] usemodify",9
fr-FR,"sgvl","[fr-FR] sgvl",4
fr-FR,"Collection of SVG logos.","[fr-FR] Collection of SVG logos.",24
fr-FR,"svgl","[fr-FR] svgl",4
fr-FR,"Simple icons","[fr-FR] Simple icons",12
fr-FR,"Collection of SVG logos along with the brand primary color.","[fr-FR] Collection of SVG logos along with the brand primary color.",59
fr-FR,"simpleicons","[fr-FR] simpleicons",11
fr-FR,"Untitled UI Icons","[fr-FR] Untitled UI Icons",17
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"untitledicons","[fr-FR] untitledicons",13
fr-FR,"Phosphor Icons","[fr-FR] Phosphor Icons",14
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"phosphor","[fr-FR] phosphor",8
fr-FR,"Sargam Icons","[fr-FR] Sargam Icons",12
fr-FR,"Icon Library with style declination (outlined, shaded, solid).","[fr-FR] Icon Library with style declination (outlined, shaded, solid).",62
fr-FR,"sargam","[fr-FR] sargam",6
fr-FR,"Feather Icons","[fr-FR] Feather Icons",13
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"feather","[fr-FR] feather",7
fr-FR,"Tabler Icons","[fr-FR] Tabler Icons",12
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"tabler","[fr-FR] tabler",6
fr-FR,"Hero Icons","[fr-FR] Hero Icons",10
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"hero","[fr-FR] hero",4
fr-FR,"Iconoir","[fr-FR] Iconoir",7
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"iconoir","[fr-FR] iconoir",7
fr-FR,"Iconic","[fr-FR] Iconic",6
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"iconic","[fr-FR] iconic",6
fr-FR,"Glyphs","[fr-FR] Glyphs",6
fr-FR,"Colored Icon Library.","[fr-FR] Colored Icon Library.",21
fr-FR,"glyphs","[fr-FR] glyphs",6
fr-FR,"Atlas Icons","[fr-FR] Atlas Icons",11
fr-FR,"Icon Library.","[fr-FR] Icon Library.",13
fr-FR,"atlasicons","[fr-FR] atlasicons",10
fr-FR,"Getty Images","[fr-FR] Getty Images",12
fr-FR,"Collection of professionals stock picture.","[fr-FR] Collection of professionals stock picture.",42
fr-FR,"getty","[fr-FR] getty",5
fr-FR,"Unsplash","[fr-FR] Unsplash",8
fr-FR,"Collection of free to use pictures, mostly focused on real life photography.","[fr-FR] Collection of free to use pictures, mostly focused on real life photography.",76
fr-FR,"unsplash","[fr-FR] unsplash",8
fr-FR,"Pixabay","[fr-FR] Pixabay",7
fr-FR,"Collection of free to use pictures.","[fr-FR] Collection of free to use pictures.",35
fr-FR,"pixabay","[fr-FR] pixabay",7
fr-FR,"Pexels","[fr-FR] Pexels",6
fr-FR,"Collection of free to use pictures and videos.","[fr-FR] Collection of free to use pictures and videos.",46
fr-FR,"pexels","[fr-FR] pexels",6
fr-FR,"Guide to User Research (UXR)","[fr-FR] Guide to User Research (UXR)",28
fr-FR,"Corpus of UX research methodologies.","[fr-FR] Corpus of UX research methodologies.",36
fr-FR,"guideux","[fr-FR] guideux",7
fr-FR,"Laws of UX","[fr-FR] Laws of UX",10
fr-FR,"Fundamental rules in UX.","[fr-FR] Fundamental rules in UX.",24
fr-FR,"lawsux","[fr-FR] lawsux",6
fr-FR,"All","[fr-FR] All",3
fr-FR,"Design System","[fr-FR] Design System",13
fr-FR,"module","[fr-FR] module",6
fr-FR,"Color","[fr-FR] Color",5
fr-FR,"paint","[fr-FR] paint",5
fr-FR,"Foundry","[fr-FR] Foundry",7
fr-FR,"type","[fr-FR] type",4
fr-FR,"Iconography","[fr-FR] Iconography",11
fr-FR,"image","[fr-FR] image",5
fr-FR,"Stock","[fr-FR] Stock",5
fr-FR,"camera","[fr-FR] camera",6
fr-FR,"click","[fr-FR] click",5
fr-FR,"ai","[fr-FR] ai",2
fr-FR,"Figma","[fr-FR] Figma",5
fr-FR,"Adobe XD","[fr-FR] Adobe XD",8
fr-FR,"Powerpoint","[fr-FR] Powerpoint",10
fr-FR,"Management","[fr-FR] Management",10
fr-FR,"management","[fr-FR] management",10
fr-FR,"Documentation","[fr-FR] Documentation",13
fr-FR,"glasses","[fr-FR] glasses",7
fr-FR,"Core Modules","[fr-FR] Core Modules",12
fr-FR,"Elite Modules","[fr-FR] Elite Modules",13
,,TOTAL,6470